Date,VSTOXX
1999-12-30,31.1
1999-12-31,31.1
2000-01-03,30.98
2000-01-04,33.22
2000-01-05,32.59
2000-01-06,31.18
2000-01-07,27.44
2000-01-10,27.37
2000-01-11,27.96
2000-01-12,28.61
2000-01-13,28.05
2000-01-14,25.48
2000-01-18,27.78
2000-01-19,28.13
2000-01-20,27.76
2000-01-21,28.2
2000-01-24,28.66
2000-01-25,30.02
2000-01-26,29.43
2000-01-27,28.06
2000-01-28,29.02
2000-01-31,31.97
2000-02-01,30.12
2000-02-02,29.5
2000-02-03,28.93
2000-02-04,28.63
2000-02-07,29.94
2000-02-08,28.57
2000-02-09,29.51
2000-02-10,30.13
2000-02-11,29.18
2000-02-14,32.92
2000-02-15,33.99
2000-02-16,32.56
2000-02-17,30.92
2000-02-18,30.31
2000-02-22,30.77
2000-02-23,29.6
2000-02-24,29.51
2000-02-25,27.09
2000-02-28,29.09
2000-02-29,28.78
2000-03-01,27.68
2000-03-02,24.73
2000-03-03,27.52
2000-03-06,27.73
2000-03-07,28.46
2000-03-08,29.51
2000-03-09,29.3
2000-03-10,28.23
2000-03-13,31.14
2000-03-14,30.9
2000-03-15,31.51
2000-03-16,31.45
2000-03-17,31.09
2000-03-20,29.54
2000-03-21,29.12
2000-03-22,28.93
2000-03-23,28.53
2000-03-24,27.02
2000-03-27,27.06
2000-03-28,26.43
2000-03-29,25.46
2000-03-30,27.79
2000-03-31,27.24
2000-04-03,28.18
2000-04-04,27.82
2000-04-05,32.07
2000-04-06,28.78
2000-04-07,26.63
2000-04-10,26.94
2000-04-11,28.14
2000-04-12,27.64
2000-04-13,27.86
2000-04-14,28.41
2000-04-17,30.78
2000-04-18,30.28
2000-04-19,28.22
2000-04-20,27.23
2000-04-24,27.23
2000-04-25,28.31
2000-04-26,28.29
2000-04-27,29.99
2000-04-28,28.13
2000-05-01,28.13
2000-05-02,28.71
2000-05-03,29.89
2000-05-04,29.57
2000-05-05,28.2
2000-05-08,28.75
2000-05-09,29.29
2000-05-10,30.02
2000-05-11,27.73
2000-05-12,27.06
2000-05-15,28.18
2000-05-16,26.82
2000-05-17,27.25
2000-05-18,26.29
2000-05-19,28.53
2000-05-22,29.7
2000-05-23,28.74
2000-05-24,28.86
2000-05-25,27.36
2000-05-26,26.78
2000-05-30,25.63
2000-05-31,25.26
2000-06-01,24.14
2000-06-02,22.76
2000-06-05,23.45
2000-06-06,24.16
2000-06-07,24.37
2000-06-08,24.11
2000-06-09,24.31
2000-06-12,24.57
2000-06-13,24.18
2000-06-14,23.23
2000-06-15,24.12
2000-06-16,23.55
2000-06-19,23.08
2000-06-20,22.31
2000-06-21,22.71
2000-06-22,22.71
2000-06-23,22.61
2000-06-26,22.82
2000-06-27,22.79
2000-06-28,22.27
2000-06-29,23.57
2000-06-30,22.42
2000-07-03,22.65
2000-07-05,22.61
2000-07-06,22.45
2000-07-07,21.47
2000-07-10,21.58
2000-07-11,21.22
2000-07-12,20.95
2000-07-13,20.45
2000-07-14,19.78
2000-07-17,19.61
2000-07-18,19.41
2000-07-19,20.46
2000-07-20,20.09
2000-07-21,20.35
2000-07-24,20.84
2000-07-25,20.57
2000-07-26,20.64
2000-07-27,21.25
2000-07-28,22.55
2000-07-31,22.25
2000-08-01,22.46
2000-08-02,22.28
2000-08-03,23.2
2000-08-04,22.41
2000-08-07,22.25
2000-08-08,21.96
2000-08-09,21.79
2000-08-10,21.29
2000-08-11,21.18
2000-08-14,20.67
2000-08-15,20.7
2000-08-16,20.29
2000-08-17,20.22
2000-08-18,19.91
2000-08-21,19.98
2000-08-22,19.91
2000-08-23,19.61
2000-08-24,19.82
2000-08-25,19.25
2000-08-28,19.73
2000-08-29,19.84
2000-08-30,20.14
2000-08-31,19.62
2000-09-01,19.14
2000-09-05,20.52
2000-09-06,20.66
2000-09-07,19.91
2000-09-08,20.45
2000-09-11,20.17
2000-09-12,20.07
2000-09-13,20.59
2000-09-14,20.39
2000-09-15,19.87
2000-09-18,21.15
2000-09-19,21.44
2000-09-20,22.02
2000-09-21,24.85
2000-09-22,24.42
2000-09-25,23.13
2000-09-26,22.69
2000-09-27,22.39
2000-09-28,21.94
2000-09-29,23.35
2000-10-02,23.51
2000-10-03,23.2
2000-10-04,23.57
2000-10-05,23.17
2000-10-06,23.23
2000-10-09,25.28
2000-10-10,25.69
2000-10-11,27.7
2000-10-12,27.64
2000-10-13,28.65
2000-10-16,27.45
2000-10-17,26.99
2000-10-18,29.85
2000-10-19,27.54
2000-10-20,26.4
2000-10-23,26.5
2000-10-24,25.65
2000-10-25,26.76
2000-10-26,27.4
2000-10-27,26.32
2000-10-30,26.49
2000-10-31,25.3
2000-11-01,24.88
2000-11-02,24.5
2000-11-03,23.54
2000-11-06,24.15
2000-11-07,24.33
2000-11-08,24.24
2000-11-09,24.25
2000-11-10,25.52
2000-11-13,28.05
2000-11-14,25.58
2000-11-15,25.1
2000-11-16,24.96
2000-11-17,24.88
2000-11-20,26.39
2000-11-21,25.5
2000-11-22,26.94
2000-11-24,25.38
2000-11-27,25.97
2000-11-28,26.26
2000-11-29,26.2
2000-11-30,28.38
2000-12-01,27.27
2000-12-04,28.17
2000-12-05,26.17
2000-12-06,25.67
2000-12-07,25.85
2000-12-08,25.41
2000-12-11,24.71
2000-12-12,24.22
2000-12-13,23.84
2000-12-14,24.96
2000-12-15,25.6
2000-12-18,24.45
2000-12-19,24.39
2000-12-20,27.22
2000-12-21,27.98
2000-12-22,27.46
2000-12-26,27.46
2000-12-27,27.03
2000-12-28,26.73
2000-12-29,26.23
2001-01-02,27.73
2001-01-03,28.62
2001-01-04,26.92
2001-01-05,26.59
2001-01-08,27.27
2001-01-09,27.1
2001-01-10,26.47
2001-01-11,24.84
2001-01-12,23.65
2001-01-16,24.13
2001-01-17,23.44
2001-01-18,23.3
2001-01-19,22.79
2001-01-22,23.32
2001-01-23,23.1
2001-01-24,22.46
2001-01-25,22.01
2001-01-26,21.92
2001-01-29,22.06
2001-01-30,22.52
2001-01-31,22.25
2001-02-01,21.75
2001-02-02,21.17
2001-02-05,21.53
2001-02-06,20.51
2001-02-07,20.78
2001-02-08,20.16
2001-02-09,20.39
2001-02-12,19.7
2001-02-13,19.89
2001-02-14,21.03
2001-02-15,19.67
2001-02-16,21.01
2001-02-20,21.45
2001-02-21,22.65
2001-02-22,23.96
2001-02-23,23.81
2001-02-26,23.74
2001-02-27,22.91
2001-02-28,23.31
2001-03-01,23.38
2001-03-02,22.8
2001-03-05,22.21
2001-03-06,20.88
2001-03-07,20.79
2001-03-08,20.57
2001-03-09,21.14
2001-03-12,23.47
2001-03-13,24.2
2001-03-14,27.19
2001-03-15,27.21
2001-03-16,27.71
2001-03-19,28.25
2001-03-20,27.72
2001-03-21,28.35
2001-03-22,30.56
2001-03-23,31.44
2001-03-26,28.79
2001-03-27,27.08
2001-03-28,29.65
2001-03-29,30.18
2001-03-30,29.84
2001-04-02,29.55
2001-04-03,33.08
2001-04-04,32.6
2001-04-05,30.52
2001-04-06,29.74
2001-04-09,28.7
2001-04-10,26.52
2001-04-11,25.35
2001-04-12,25.16
2001-04-16,
2001-04-17,27.79
2001-04-18,25.18
2001-04-19,26.19
2001-04-20,26.52
2001-04-23,26.99
2001-04-24,25.71
2001-04-25,24.96
2001-04-26,22.97
2001-04-27,20.98
2001-04-30,21.21
2001-05-01,21.21
2001-05-02,21.7
2001-05-03,22.92
2001-05-04,22.9
2001-05-07,22.52
2001-05-08,22.41
2001-05-09,22.67
2001-05-10,21.2
2001-05-11,21.0
2001-05-14,22.29
2001-05-15,21.68
2001-05-16,21.83
2001-05-17,21.13
2001-05-18,20.68
2001-05-21,20.62
2001-05-22,20.0
2001-05-23,20.07
2001-05-24,19.59
2001-05-25,19.52
2001-05-29,20.47
2001-05-30,21.54
2001-05-31,21.33
2001-06-01,20.98
2001-06-04,20.67
2001-06-05,19.86
2001-06-06,19.96
2001-06-07,19.97
2001-06-08,19.01
2001-06-11,19.6
2001-06-12,21.95
2001-06-13,21.31
2001-06-14,23.62
2001-06-15,24.27
2001-06-18,24.43
2001-06-19,22.89
2001-06-20,23.08
2001-06-21,22.25
2001-06-22,20.94
2001-06-25,21.41
2001-06-26,23.53
2001-06-27,23.19
2001-06-28,21.75
2001-06-29,20.34
2001-07-02,19.63
2001-07-03,20.43
2001-07-05,20.98
2001-07-06,24.72
2001-07-09,25.35
2001-07-10,25.0
2001-07-11,27.77
2001-07-12,25.03
2001-07-13,24.46
2001-07-16,25.56
2001-07-17,26.16
2001-07-18,28.4
2001-07-19,26.07
2001-07-20,26.1
2001-07-23,25.72
2001-07-24,26.39
2001-07-25,28.1
2001-07-26,26.91
2001-07-27,24.92
2001-07-30,23.57
2001-07-31,22.31
2001-08-01,21.72
2001-08-02,22.06
2001-08-03,22.86
2001-08-06,22.9
2001-08-07,22.79
2001-08-08,23.46
2001-08-09,25.99
2001-08-10,25.79
2001-08-13,25.24
2001-08-14,24.09
2001-08-15,24.24
2001-08-16,25.95
2001-08-17,28.96
2001-08-20,28.68
2001-08-21,26.77
2001-08-22,26.94
2001-08-23,25.27
2001-08-24,24.12
2001-08-27,24.92
2001-08-28,26.26
2001-08-29,26.25
2001-08-30,27.7
2001-08-31,27.49
2001-09-04,28.6
2001-09-05,29.94
2001-09-06,31.64
2001-09-07,33.08
2001-09-10,34.99
2001-09-17,45.63
2001-09-18,46.86
2001-09-19,46.67
2001-09-20,52.45
2001-09-21,57.54
2001-09-24,50.28
2001-09-25,48.73
2001-09-26,47.05
2001-09-27,45.19
2001-09-28,40.89
2001-10-01,43.22
2001-10-02,42.83
2001-10-03,41.63
2001-10-04,38.91
2001-10-05,41.45
2001-10-08,43.26
2001-10-09,42.19
2001-10-10,39.18
2001-10-11,38.58
2001-10-12,38.31
2001-10-15,43.87
2001-10-16,42.32
2001-10-17,40.99
2001-10-18,44.66
2001-10-19,46.39
2001-10-22,42.61
2001-10-23,39.38
2001-10-24,39.25
2001-10-25,40.73
2001-10-26,38.07
2001-10-29,39.6
2001-10-30,42.76
2001-10-31,40.75
2001-11-01,39.77
2001-11-02,38.45
2001-11-05,37.18
2001-11-06,37.66
2001-11-07,36.89
2001-11-08,34.34
2001-11-09,33.61
2001-11-12,39.45
2001-11-13,34.42
2001-11-14,35.23
2001-11-15,36.88
2001-11-16,33.09
2001-11-19,31.84
2001-11-20,31.82
2001-11-21,30.73
2001-11-23,27.55
2001-11-26,27.7
2001-11-27,29.18
2001-11-28,30.09
2001-11-29,30.17
2001-11-30,28.77
2001-12-03,30.11
2001-12-04,28.17
2001-12-05,26.82
2001-12-06,27.6
2001-12-07,27.58
2001-12-10,28.64
2001-12-11,28.57
2001-12-12,28.93
2001-12-13,29.79
2001-12-14,30.03
2001-12-17,27.78
2001-12-18,28.49
2001-12-19,28.38
2001-12-20,29.0
2001-12-21,28.55
2001-12-24,28.55
2001-12-26,
2001-12-27,27.55
2001-12-28,26.71
2001-12-31,
2002-01-02,29.32
2002-01-03,27.36
2002-01-04,26.61
2002-01-07,27.42
2002-01-08,27.04
2002-01-09,27.02
2002-01-10,28.28
2002-01-11,27.18
2002-01-14,29.03
2002-01-15,28.39
2002-01-16,29.25
2002-01-17,28.65
2002-01-18,28.08
2002-01-22,27.62
2002-01-23,26.73
2002-01-24,24.74
2002-01-25,24.07
2002-01-28,24.41
2002-01-29,25.07
2002-01-30,26.56
2002-01-31,25.38
2002-02-01,24.7
2002-02-04,25.53
2002-02-05,28.36
2002-02-06,29.86
2002-02-07,28.97
2002-02-08,27.67
2002-02-11,27.5
2002-02-12,27.25
2002-02-13,27.12
2002-02-14,25.78
2002-02-15,26.2
2002-02-19,28.11
2002-02-20,28.93
2002-02-21,27.6
2002-02-22,28.82
2002-02-25,27.39
2002-02-26,26.76
2002-02-27,26.1
2002-02-28,25.23
2002-03-01,24.66
2002-03-04,24.94
2002-03-05,25.0
2002-03-06,24.47
2002-03-07,25.05
2002-03-08,24.24
2002-03-11,24.74
2002-03-12,24.95
2002-03-13,25.24
2002-03-14,23.97
2002-03-15,22.1
2002-03-18,22.05
2002-03-19,21.49
2002-03-20,21.97
2002-03-21,21.5
2002-03-22,20.29
2002-03-25,20.53
2002-03-26,20.12
2002-03-27,19.62
2002-03-28,19.52
2002-04-01,
2002-04-02,21.25
2002-04-03,21.06
2002-04-04,21.83
2002-04-05,21.76
2002-04-08,24.05
2002-04-09,23.16
2002-04-10,22.38
2002-04-11,23.12
2002-04-12,22.71
2002-04-15,22.28
2002-04-16,21.53
2002-04-17,22.51
2002-04-18,23.34
2002-04-19,22.17
2002-04-22,23.08
2002-04-23,23.09
2002-04-24,23.15
2002-04-25,24.75
2002-04-26,24.72
2002-04-29,25.29
2002-04-30,24.85
2002-05-01,24.85
2002-05-02,25.0
2002-05-03,25.45
2002-05-06,25.65
2002-05-07,26.01
2002-05-08,24.58
2002-05-09,24.83
2002-05-10,25.84
2002-05-13,25.06
2002-05-14,24.98
2002-05-15,24.69
2002-05-16,24.7
2002-05-17,24.24
2002-05-20,25.27
2002-05-21,25.45
2002-05-22,26.69
2002-05-23,26.32
2002-05-24,25.22
2002-05-28,25.23
2002-05-29,25.15
2002-05-30,27.11
2002-05-31,25.8
2002-06-03,26.78
2002-06-04,29.38
2002-06-05,28.44
2002-06-06,27.68
2002-06-07,28.91
2002-06-10,28.68
2002-06-11,28.04
2002-06-12,29.87
2002-06-13,31.02
2002-06-14,34.73
2002-06-17,31.03
2002-06-18,32.09
2002-06-19,35.36
2002-06-20,36.8
2002-06-21,37.92
2002-06-24,38.68
2002-06-25,36.55
2002-06-26,41.25
2002-06-27,38.42
2002-06-28,36.11
2002-07-01,36.66
2002-07-02,40.48
2002-07-03,43.72
2002-07-05,36.76
2002-07-08,38.64
2002-07-09,39.4
2002-07-10,41.93
2002-07-11,46.56
2002-07-12,46.88
2002-07-15,52.77
2002-07-16,53.62
2002-07-17,51.64
2002-07-18,48.76
2002-07-19,52.06
2002-07-22,56.46
2002-07-23,58.96
2002-07-24,62.73
2002-07-25,59.25
2002-07-26,56.41
2002-07-29,46.99
2002-07-30,46.37
2002-07-31,48.71
2002-08-01,50.97
2002-08-02,52.88
2002-08-05,55.65
2002-08-06,54.03
2002-08-07,56.1
2002-08-08,51.14
2002-08-09,50.02
2002-08-12,51.98
2002-08-13,51.51
2002-08-14,51.56
2002-08-15,48.24
2002-08-16,43.81
2002-08-19,38.2
2002-08-20,39.93
2002-08-21,38.46
2002-08-22,39.15
2002-08-23,39.2
2002-08-26,39.47
2002-08-27,38.53
2002-08-28,43.59
2002-08-29,47.25
2002-08-30,46.82
2002-09-03,58.06
2002-09-04,57.42
2002-09-05,55.87
2002-09-06,48.93
2002-09-09,50.85
2002-09-10,49.38
2002-09-11,45.76
2002-09-12,49.74
2002-09-13,50.23
2002-09-16,50.94
2002-09-17,51.56
2002-09-18,56.69
2002-09-19,57.49
2002-09-20,55.51
2002-09-23,59.8
2002-09-24,60.35
2002-09-25,57.45
2002-09-26,55.72
2002-09-27,56.95
2002-09-30,61.34
2002-10-01,57.67
2002-10-02,57.06
2002-10-03,58.9
2002-10-04,60.66
2002-10-07,61.9
2002-10-08,61.17
2002-10-09,58.2
2002-10-10,52.28
2002-10-11,49.61
2002-10-14,51.35
2002-10-15,48.42
2002-10-16,51.51
2002-10-17,51.1
2002-10-18,51.73
2002-10-21,50.94
2002-10-22,51.22
2002-10-23,52.16
2002-10-24,50.29
2002-10-25,48.68
2002-10-28,46.91
2002-10-29,49.1
2002-10-30,46.85
2002-10-31,45.07
2002-11-01,44.79
2002-11-04,43.36
2002-11-05,43.23
2002-11-06,44.58
2002-11-07,46.62
2002-11-08,47.69
2002-11-11,48.78
2002-11-12,46.06
2002-11-13,46.15
2002-11-14,44.23
2002-11-15,41.69
2002-11-18,40.23
2002-11-19,39.31
2002-11-20,38.13
2002-11-21,35.64
2002-11-22,34.8
2002-11-25,34.63
2002-11-26,36.58
2002-11-27,34.63
2002-11-29,35.83
2002-12-02,36.76
2002-12-03,39.76
2002-12-04,39.48
2002-12-05,42.42
2002-12-06,42.72
2002-12-09,47.1
2002-12-10,45.25
2002-12-11,43.6
2002-12-12,44.31
2002-12-13,44.66
2002-12-16,42.47
2002-12-17,42.68
2002-12-18,45.53
2002-12-19,50.51
2002-12-20,47.95
2002-12-23,46.69
2002-12-24,
2002-12-26,
2002-12-27,50.25
2002-12-30,51.21
2002-12-31,
2003-01-02,46.51
2003-01-03,45.33
2003-01-06,44.59
2003-01-07,44.87
2003-01-08,45.72
2003-01-09,43.93
2003-01-10,41.41
2003-01-13,40.59
2003-01-14,39.82
2003-01-15,39.62
2003-01-16,38.33
2003-01-17,41.46
2003-01-21,45.96
2003-01-22,48.85
2003-01-23,47.57
2003-01-24,47.16
2003-01-27,53.14
2003-01-28,52.41
2003-01-29,51.29
2003-01-30,47.19
2003-01-31,44.35
2003-02-03,42.54
2003-02-04,47.24
2003-02-05,45.26
2003-02-06,46.86
2003-02-07,46.4
2003-02-10,45.79
2003-02-11,43.25
2003-02-12,44.37
2003-02-13,44.4
2003-02-14,42.53
2003-02-18,40.31
2003-02-19,41.3
2003-02-20,41.71
2003-02-21,40.69
2003-02-24,44.66
2003-02-25,49.33
2003-02-26,48.11
2003-02-27,46.71
2003-02-28,44.5
2003-03-03,43.91
2003-03-04,44.61
2003-03-05,43.65
2003-03-06,43.85
2003-03-07,45.01
2003-03-10,47.17
2003-03-11,45.24
2003-03-12,50.04
2003-03-13,45.98
2003-03-14,46.95
2003-03-17,50.33
2003-03-18,52.23
2003-03-19,52.88
2003-03-20,50.45
2003-03-21,45.84
2003-03-24,50.15
2003-03-25,49.74
2003-03-26,48.06
2003-03-27,46.61
2003-03-28,45.9
2003-03-31,48.27
2003-04-01,46.74
2003-04-02,45.03
2003-04-03,45.69
2003-04-04,43.98
2003-04-07,41.43
2003-04-08,40.59
2003-04-09,39.21
2003-04-10,38.45
2003-04-11,37.5
2003-04-14,34.81
2003-04-15,32.96
2003-04-16,32.76
2003-04-17,32.6
2003-04-21,
2003-04-22,33.13
2003-04-23,32.16
2003-04-24,32.41
2003-04-25,33.22
2003-04-28,32.11
2003-04-29,32.55
2003-04-30,31.8
2003-05-01,
2003-05-02,31.72
2003-05-05,31.02
2003-05-06,30.09
2003-05-07,30.64
2003-05-08,34.02
2003-05-09,32.89
2003-05-12,33.27
2003-05-13,32.65
2003-05-14,31.23
2003-05-15,29.32
2003-05-16,28.64
2003-05-19,34.78
2003-05-20,34.84
2003-05-21,36.2
2003-05-22,33.28
2003-05-23,33.54
2003-05-27,32.02
2003-05-28,30.79
2003-05-29,30.49
2003-05-30,28.54
2003-06-02,28.55
2003-06-03,30.92
2003-06-04,29.41
2003-06-05,30.75
2003-06-06,28.38
2003-06-09,29.66
2003-06-10,28.03
2003-06-11,26.94
2003-06-12,26.49
2003-06-13,27.51
2003-06-16,26.29
2003-06-17,27.25
2003-06-18,26.91
2003-06-19,27.21
2003-06-20,26.12
2003-06-23,27.38
2003-06-24,28.15
2003-06-25,27.94
2003-06-26,26.8
2003-06-27,26.59
2003-06-30,27.53
2003-07-01,29.63
2003-07-02,27.56
2003-07-03,28.15
2003-07-07,25.81
2003-07-08,26.27
2003-07-09,26.32
2003-07-10,26.84
2003-07-11,25.95
2003-07-14,25.78
2003-07-15,26.16
2003-07-16,25.96
2003-07-17,28.63
2003-07-18,28.15
2003-07-21,29.25
2003-07-22,28.08
2003-07-23,27.37
2003-07-24,25.66
2003-07-25,25.73
2003-07-28,25.72
2003-07-29,25.8
2003-07-30,25.38
2003-07-31,24.54
2003-08-01,25.3
2003-08-04,27.33
2003-08-05,26.62
2003-08-06,29.28
2003-08-07,29.97
2003-08-08,28.76
2003-08-11,27.92
2003-08-12,26.89
2003-08-13,26.79
2003-08-14,24.63
2003-08-15,24.52
2003-08-18,24.13
2003-08-19,24.34
2003-08-20,24.28
2003-08-21,23.51
2003-08-22,23.82
2003-08-25,24.85
2003-08-26,26.49
2003-08-27,25.33
2003-08-28,24.52
2003-08-29,24.66
2003-09-02,26.08
2003-09-03,25.78
2003-09-04,25.21
2003-09-05,25.11
2003-09-08,24.89
2003-09-09,25.91
2003-09-10,26.97
2003-09-11,26.48
2003-09-12,27.66
2003-09-15,26.59
2003-09-16,24.59
2003-09-17,24.04
2003-09-18,22.96
2003-09-19,23.99
2003-09-22,28.89
2003-09-23,29.83
2003-09-24,30.55
2003-09-25,32.13
2003-09-26,32.38
2003-09-29,32.29
2003-09-30,33.5
2003-10-01,31.59
2003-10-02,30.85
2003-10-03,28.08
2003-10-06,29.48
2003-10-07,31.04
2003-10-08,29.5
2003-10-09,27.06
2003-10-10,27.04
2003-10-13,26.58
2003-10-14,26.97
2003-10-15,26.74
2003-10-16,25.36
2003-10-17,25.95
2003-10-20,24.79
2003-10-21,24.61
2003-10-22,27.76
2003-10-23,26.86
2003-10-24,26.03
2003-10-27,25.32
2003-10-28,23.98
2003-10-29,24.43
2003-10-30,23.04
2003-10-31,22.52
2003-11-03,21.75
2003-11-04,22.78
2003-11-05,22.69
2003-11-06,21.65
2003-11-07,22.49
2003-11-10,22.68
2003-11-11,22.83
2003-11-12,22.02
2003-11-13,22.34
2003-11-14,22.56
2003-11-17,26.83
2003-11-18,29.2
2003-11-19,27.92
2003-11-20,29.01
2003-11-21,27.24
2003-11-24,23.36
2003-11-25,22.8
2003-11-26,23.21
2003-11-28,22.08
2003-12-01,22.94
2003-12-02,22.46
2003-12-03,20.98
2003-12-04,20.95
2003-12-05,20.73
2003-12-08,21.4
2003-12-09,20.63
2003-12-10,20.92
2003-12-11,20.11
2003-12-12,20.95
2003-12-15,20.77
2003-12-16,20.81
2003-12-17,21.04
2003-12-18,19.81
2003-12-19,19.87
2003-12-22,19.69
2003-12-23,19.45
2003-12-24,
2003-12-26,
2003-12-29,20.57
2003-12-30,21.16
2003-12-31,21.16
2004-01-02,21.57
2004-01-05,21.29
2004-01-06,20.05
2004-01-07,19.22
2004-01-08,18.31
2004-01-09,20.16
2004-01-12,20.67
2004-01-13,20.46
2004-01-14,19.68
2004-01-15,18.6
2004-01-16,17.87
2004-01-20,18.97
2004-01-21,17.73
2004-01-22,18.6
2004-01-23,18.47
2004-01-26,18.92
2004-01-27,19.21
